date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986292647,1.0000000013384716,46303774477
2024-12-25,1.0,0.9999999983834589,1.0000000014285682,46303774477
2024-12-26,1.0,0.999999998000017,1.000000001706353,46303774477
2024-12-27,1.0,0.9999999967585014,1.000000002383323,46303774477
2024-12-28,1.0,0.9999999950522882,1.0000000033018868,46303774477
2024-12-29,1.0,0.9999999929650938,1.0000000042821964,46303774477
2024-12-30,1.0,0.9999999908697351,1.000000005962735,46303774477
2024-12-31,1.0,0.9999999883949278,1.0000000084177427,46303774477
2025-01-01,1.0,0.9999999863445836,1.0000000097178865,46303774477
2025-01-02,1.0,0.9999999840267926,1.000000011954286,46303774477
2025-01-03,1.0,0.9999999809104585,1.0000000144542722,46303774477
2025-01-04,1.0,0.9999999784710335,1.0000000171184238,46303774477
2025-01-05,1.0,0.9999999750781497,1.0000000194549934,46303774477
2025-01-06,1.0,0.9999999722274859,1.0000000222985308,46303774477
2025-01-07,1.0,0.9999999698777859,1.000000025795254,46303774477
2025-01-08,1.0,0.9999999672538886,1.0000000281944255,46303774477
2025-01-09,1.0,0.9999999631305159,1.0000000310556005,46303774477
2025-01-10,1.0,0.9999999592386175,1.0000000340491075,46303774477
2025-01-11,1.0,0.9999999564367439,1.000000038123258,46303774477
2025-01-12,1.0,0.9999999526220318,1.0000000407217924,46303774477
2025-01-13,1.0,0.999999948649925,1.0000000443834414,46303774477
2025-01-14,1.0,0.9999999449968757,1.0000000474455497,46303774477
2025-01-15,1.0,0.9999999403104618,1.000000052379634,46303774477
2025-01-16,1.0,0.9999999364232874,1.0000000570885506,46303774477
2025-01-17,1.0,0.9999999325111295,1.0000000616253935,46303774477
2025-01-18,1.0,0.9999999275895914,1.0000000640546398,46303774477
2025-01-19,1.0,0.999999923958754,1.000000068506488,46303774477
2025-01-20,1.0,0.9999999194023904,1.0000000731071812,46303774477
2025-03-04,1.9999996656589085,1.99999966565761,1.9999996656603993,46303862950
2025-03-05,1.9999996656589087,1.9999996656574364,1.999999665660458,46303862950
2025-03-06,1.9999996656589092,1.9999996656573331,1.999999665660592,46303862950
2025-03-07,1.9999996656589094,1.999999665657311,1.999999665660941,46303862950
2025-03-08,1.9999996656589096,1.999999665657033,1.9999996656617758,46303862950
2025-03-09,1.99999966565891,1.9999996656567398,2.000025001204541,46303862950
2025-03-10,1.9999996656589103,1.9999892499485359,2.000063895794954,46303862950
2025-03-11,1.9999996656589105,1.9999587351062627,2.0001553306113093,46303862950
2025-03-12,1.9999996656589107,1.9999144144866932,2.0002015726332427,46303862950
2025-03-13,1.9999996656589112,1.999858625282709,2.0002575529604365,46303862950
2025-03-14,1.9999996656589114,1.999796569840233,2.0003495974216663,46303862950
2025-03-15,1.9999996656589116,1.999717827234827,2.00044517437044,46303862950
2025-03-16,1.9999996656589119,1.9996343249479813,2.000529535021157,46303862950
2025-03-17,1.9999996656589123,1.9995378213903456,2.0006409053672454,46303862950
2025-03-18,1.9999996656589125,1.9994520562816551,2.000782539007804,46303862950
2025-03-19,1.9999996656589127,1.999363189397796,2.000931746255964,46303862950
2025-03-20,1.9999996656589132,1.9992634219552483,2.001067229241797,46303862950
2025-03-21,1.9999996656589134,1.999172522800639,2.0012131979961225,46303862950
2025-03-22,1.9999996656589136,1.999053504719901,2.001374057463175,46303862950
2025-03-23,1.9999996656589138,1.998975281140132,2.001573596646018,46303862950
2025-03-24,1.9999996656589143,1.9987926794929052,2.0016557302777165,46303862950
2025-03-25,1.9999996656589145,1.9986798949152433,2.0018293344268256,46303862950
2025-03-26,1.9999996656589147,1.9985481159301473,2.001989156673704,46303862950
2025-03-27,1.999999665658915,1.9984327637653243,2.002115807609168,46303862950
2025-03-28,1.9999996656589154,1.9982762995426187,2.002269109520097,46303862950
2025-03-29,1.9999996656589156,1.9981596148243255,2.002408315582106,46303862950
2025-03-30,1.9999996656589158,1.9980566742481864,2.0025977382192997,46303862950
2025-03-31,1.9999996656589163,1.9979211083741124,2.002678473053666,46303862950
2025-03-04,5.434594712288739,1.4469947085511858,9.4000911825783,46303877432
2025-03-05,4.865590756422694,0.303275062007991,8.994693250467323,46303877432
2025-03-06,4.296586800556636,0.3607414728112082,8.253137473801793,46303877432
2025-03-07,3.727582844690591,-0.24468350994725233,7.933503966392542,46303877432
2025-03-08,3.1585788888245467,-0.9769302551753206,7.455745265914935,46303877432
2025-03-09,2.5895749329585023,-1.466593566098238,6.651551357663167,46303877432
2025-03-10,2.020570977092458,-2.0417404867623246,5.999831616438509,46303877432
2025-03-11,1.4515670212264133,-2.5546221055606355,5.801456546445414,46303877432
2025-03-12,0.8825630653603618,-3.2267096542796305,4.931069762480165,46303877432
2025-03-13,0.3135591094943173,-3.7887790209700016,4.5659890235507286,46303877432
2025-03-14,-0.25544484637172715,-4.257111162018012,4.026496032811408,46303877432
2025-03-15,-0.8244488022377716,-5.12530399244243,3.351012700364365,46303877432
2025-03-16,-1.393452758103816,-5.40854642359406,2.665586775651427,46303877432
2025-03-17,-1.9624567139698605,-6.349241022094983,2.30867660505603,46303877432
2025-03-18,-2.531460669835919,-6.315776213039233,1.7405333113410135,46303877432
2025-03-19,-3.1004646257019637,-7.248630509679749,1.0683513876192454,46303877432
2025-03-20,-3.669468581568008,-7.714543151272852,0.6030911020838983,46303877432
2025-03-21,-4.238472537434053,-8.220205119441312,-0.15901484495504223,46303877432
2025-03-22,-4.807476493300097,-9.101870201649053,-0.7349296539190147,46303877432
